Class,Precision,Recall,F1-Score,Support
A,0.8404371584699454,0.9685138539042821,0.8999414862492686,794
B,0.9767726161369193,0.990086741016109,0.9833846153846154,807
C,0.8913043478260869,0.9603603603603603,0.9245446660884649,555
D,0.8159311087190527,0.9154589371980676,0.8628343767785998,828
E,0.7820738137082601,0.5011261261261262,0.6108442004118051,888
F,0.9873073436083409,0.9927073837739289,0.9900000000000001,1097
G,0.8452041785375118,0.9549356223175965,0.8967254408060453,932
H,0.9425414364640884,0.9793340987370838,0.9605855855855856,871
I,0.9462102689486552,0.9127358490566038,0.929171668667467,848
J,0.9322916666666666,0.9613319011815252,0.9465891062929667,931
K,0.7153338224504769,0.9241706161137441,0.8064516129032259,1055
L,0.7617328519855595,0.9712313003452244,0.8538189175518462,869
M,1.0,0.012903225806451613,0.025477707006369425,310
N,0.6333333333333333,0.5360501567398119,0.5806451612903226,319
O,0.9265367316341829,0.9363636363636364,0.931424265259985,660
P,0.9203296703296703,0.8897742363877822,0.9047940580688724,753
Q,0.7502762430939226,0.9114093959731544,0.8230303030303031,745
R,0.9078014184397163,0.7158836689038032,0.8005003126954346,894
S,0.6164574616457462,0.9464668094218416,0.7466216216216217,934
T,0.8939393939393939,0.47254004576659037,0.6182634730538922,874
U,0.5685210312075983,0.4515086206896552,0.5033033033033032,928
V,0.7539608574091333,0.8323045267489712,0.79119804400978,972
W,0.9898648648648649,0.9617067833698031,0.9755826859045504,914
X,0.9647779479326187,0.7599517490952955,0.8502024291497976,829
Y,0.985985985985986,0.9675834970530451,0.9766980664353,1018
Z,0.8723872387238724,0.9178240740740741,0.8945290468133108,864
_del,0.936231884057971,0.7801932367149759,0.8511198945981555,414
_space,0.9676258992805755,0.9180887372013652,0.9422066549912436,293
accuracy,0.8474499909893675
macro avg,0.8616132348357197,0.8229480425157467,0.8171603108554333,22196
weighted avg,0.8576666022607894,0.8474499909893675,0.8371975507837499,22196
