Class,Precision,Recall,F1-Score,Support
A,0.8317241379310345,0.7594458438287154,0.793943383805135,794
B,0.7568093385214008,0.9640644361833953,0.8479564032697549,807
C,0.8553299492385786,0.6072072072072072,0.7102212855637514,555
D,0.8935912938331319,0.892512077294686,0.8930513595166163,828
E,0.7515432098765432,0.5484234234234234,0.6341145833333334,888
F,0.768025078369906,0.8933454876937101,0.8259587020648967,1097
G,0.9558189655172413,0.9517167381974249,0.9537634408602149,932
H,0.8586326767091541,0.8507462686567164,0.8546712802768166,871
I,0.828693790149893,0.4563679245283019,0.5885931558935361,848
J,0.7189605389797883,0.8023630504833512,0.7583756345177666,931
K,0.5021097046413502,0.7895734597156399,0.6138540899042004,1055
L,0.7196428571428571,0.9275028768699655,0.8104575163398693,869
M,0.7142857142857143,0.41935483870967744,0.5284552845528456,310
N,0.7105263157894737,0.3385579937304075,0.45859872611464964,319
O,0.9365942028985508,0.7833333333333333,0.8531353135313533,660
P,0.8038961038961039,0.8220451527224436,0.8128693368351938,753
Q,0.8317757009345794,0.836241610738255,0.8340026773761713,745
R,0.625242718446602,0.36017897091722595,0.45706174591909154,894
S,0.5148578811369509,0.8533190578158458,0.6422240128928284,934
T,0.8801546391752577,0.7814645308924485,0.827878787878788,874
U,0.4622496147919877,0.3232758620689655,0.38046924540266325,928
V,0.6815476190476191,0.7067901234567902,0.693939393939394,972
W,0.9920364050056882,0.9540481400437637,0.9726715002788622,914
X,0.8807947019867549,0.8021712907117008,0.8396464646464646,829
Y,0.7196684250188395,0.9381139489194499,0.8144989339019191,1018
Z,0.7942643391521197,0.7372685185185185,0.7647058823529411,864
_del,0.6912751677852349,0.7463768115942029,0.7177700348432056,414
_space,0.8648648648648649,0.32764505119453924,0.4752475247524753,293
accuracy,0.749909893674536
macro avg,0.7694612841116862,0.7204805010517896,0.7270762750201694,22196
weighted avg,0.7635897864878185,0.749909893674536,0.7427217557615927,22196
